AgeGroup,Differentiation,Stemness
"Age[20,60)",0.07124135,0.050151876
"Age[20,60)",0.09240607,0.057735416
"Age[20,60)",0.051963367,0.045083726
"Age[20,60)",0.071458588,0.053929713
"Age[20,60)",0.067623708,0.018941627
"Age[20,60)",0.059822548,0.032259315
"Age[20,60)",0.066655248,0.031195495
"Age[20,60)",0.070407653,0.028361521
"Age[20,60)",0.07938337,0.051324242
"Age[20,60)",0.091021675,0.081778481
"Age[20,60)",0.062814824,0.040301878
"Age[20,60)",0.092397898,0.051041889
"Age[20,60)",0.086258319,0.049923986
"Age[20,60)",0.069911493,0.037370559
"Age[20,60)",0.106678871,0.068312865
"Age[20,60)",0.104001648,0.041077684
"Age[20,60)",0.070414733,0.037871267
"Age[20,60)",0.081788788,0.05391013
"Age[60,90)",0.080919342,0.038607991
"Age[60,90)",0.108579257,0.076950353
"Age[60,90)",0.086742086,0.067598465
"Age[60,90)",0.103656178,0.045068855
"Age[60,90)",0.11442727,0.072258233
"Age[60,90)",0.111338206,0.045685038
"Age[60,90)",0.090864244,0.05113621
"Age[60,90)",0.110006901,0.095833646
"Age[60,90)",0.087242037,0.065160379
"Age[60,90)",0.073886558,0.045394395
"Age[60,90)",0.107485867,0.056864491
"Age[60,90)",0.068493129,0.043044786
"Age[60,90)",0.097357281,0.039469841
"Age[60,90)",0.079129907,0.054368682
"Age[60,90)",0.090226105,0.046459876
"Age[60,90)",0.092988326,0.059081645
"Age[60,90)",0.090378718,0.069170674
"Age[60,90)",0.101855276,0.072561627
"Age[60,90)",0.126589247,0.079182357
"Age[60,90)",0.076151123,0.0613646
"Age[60,90)",0.104784491,0.075344797
"Age[60,90)",0.095994047,0.043006647
"Age[60,90)",0.092036569,0.07662121
"Age[60,90)",0.099914435,0.066132191
"Age[60,90)",0.070980234,0.04922738
"Age[60,90)",0.11394778,0.060950438
"Age[60,90)",0.058396137,0.063333819
"Age[60,90)",0.064287932,0.03605064
"Age[60,90)",0.139247839,0.093470556
"Age[60,90)",0.080136887,0.052985293
"Age[60,90)",0.059938941,0.024216602
"Age[60,90)",0.087774696,0.052631288
"Age[60,90)",0.117610751,0.038605267
"Age[60,90)",0.130818925,0.084398879
"Age[60,90)",0.098366676,0.075398436
"Age[60,90)",0.108684545,0.043955697
"Age[60,90)",0.089285888,0.035748595
"Age[60,90)",0.127628332,0.073429722
"Age[20,60)",0.126588779,0.064881826
"Age[20,60)",0.114831224,0.070914522
"Age[20,60)",0.081999403,0.066372307
"Age[20,60)",0.118384124,0.081631289
"Age[20,60)",0.12937867,0.094517673
"Age[20,60)",0.125400312,0.084392433
"Age[20,60)",0.101551686,0.077186749
"Age[20,60)",0.096186479,0.081355648
"Age[20,60)",0.135999448,0.069368496
"Age[20,60)",0.125492605,0.090682335
"Age[20,60)",0.113018878,0.057429191
"Age[20,60)",0.130262525,0.069880805
"Age[20,60)",0.107059079,0.068952178
"Age[20,60)",0.114698135,0.094353992
"Age[20,60)",0.099135913,0.08071593
"Age[20,60)",0.118162665,0.087337453
"Age[20,60)",0.10527698,0.053329848
"Age[20,60)",0.115803182,0.064689286
"Age[20,60)",0.115522602,0.094259021
"Age[20,60)",0.128427721,0.0789618
"Age[20,60)",0.096965817,0.074285396
"Age[20,60)",0.145398171,0.073610351
"Age[20,60)",0.092840769,0.02454732
"Age[20,60)",0.132683005,0.077860809
"Age[20,60)",0.060607367,0.032932622
"Age[20,60)",0.093425947,0.069120105
"Age[20,60)",0.126423142,0.081317443
"Age[20,60)",0.109003578,0.063306723
"Age[20,60)",0.118101577,0.074517361
"Age[20,60)",0.085742415,0.031747951
"Age[20,60)",0.132470099,0.068082711
"Age[20,60)",0.115494102,0.083152837
"Age[20,60)",0.115516084,0.06756937
"Age[20,60)",0.090660697,0.061028891
"Age[20,60)",0.095668568,0.085098119
"Age[20,60)",0.123892245,0.056069333
"Age[20,60)",0.116725597,0.058689585
"Age[20,60)",0.124534636,0.064390591
"Age[20,60)",0.111013802,0.060169552
"Age[20,60)",0.112843868,0.072259568
"Age[20,60)",0.161117955,0.0811735
"Age[20,60)",0.138545676,0.092549337
"Age[20,60)",0.102812664,0.06911122
"Age[20,60)",0.133312427,0.098244904
"Age[20,60)",0.109159842,0.066641017
"Age[20,60)",0.10831066,0.06534703
"Age[20,60)",0.106431235,0.071034847
"Age[20,60)",0.136255944,0.064255086
"Age[20,60)",0.126548087,0.060658872
"Age[20,60)",0.08105279,0.0693634
"Age[20,60)",0.134101773,0.063322637
"Age[20,60)",0.083572307,0.062477842
"Age[20,60)",0.150429079,0.097205584
"Age[20,60)",0.119252407,0.0684099
"Age[20,60)",0.097269387,0.042843871
"Age[20,60)",0.100742834,0.070397327
"Age[20,60)",0.076600453,0.025848349
"Age[20,60)",0.144248016,0.092064202
"Age[20,60)",0.095347222,0.051696614
"Age[20,60)",0.126963193,0.090226142
"Age[20,60)",0.125994919,0.062531032
"Age[20,60)",0.144560706,0.070477415
"Age[20,60)",0.106399025,0.035779879
"Age[20,60)",0.107241889,0.073457254
"Age[20,60)",0.113611827,0.072313576
"Age[20,60)",0.110546208,0.075207368
"Age[20,60)",0.133669595,0.070797854
"Age[20,60)",0.110002322,0.054108908
"Age[20,60)",0.119697543,0.079344643
"Age[20,60)",0.109416618,0.083650489
"Age[20,60)",0.104930636,0.076677342
"Age[20,60)",0.135666573,0.083613847
"Age[20,60)",0.096724615,0.07604123
"Age[20,60)",0.117815849,0.077737187
"Age[20,60)",0.156574305,0.086653914
"Age[20,60)",0.088233907,0.041824229
"Age[20,60)",0.12888943,0.086303033
"Age[20,60)",0.122681243,0.079709147
"Age[20,60)",0.124284239,0.08562066
"Age[20,60)",0.067181289,0.049778011
"Age[20,60)",0.071758965,0.042078471
"Age[20,60)",0.112901099,0.050253039
"Age[20,60)",0.058935072,0.047629923
"Age[20,60)",0.059870508,0.060234713
"Age[20,60)",0.066982552,0.060501492
"Age[20,60)",0.086758814,0.04292798
"Age[20,60)",0.082132899,0.020152744
"Age[20,60)",0.083749864,0.063791674
"Age[20,60)",0.072100125,0.019863327
"Age[20,60)",0.095385847,0.063931908
"Age[20,60)",0.076798587,0.050991981
"Age[20,60)",0.116458638,0.050394945
"Age[20,60)",0.089671211,0.050491511
"Age[20,60)",0.086310918,0.062693421
"Age[20,60)",0.089330088,0.063684655
"Age[20,60)",0.078732713,0.045892199
"Age[20,60)",0.106684081,0.067619268
"Age[20,60)",0.102328192,0.058723649
"Age[20,60)",0.078119336,0.045792393
"Age[20,60)",0.098895139,0.052444926
"Age[20,60)",0.106211328,0.066043545
"Age[20,60)",0.105963325,0.061404254
"Age[20,60)",0.077025963,0.070924437
"Age[20,60)",0.096177871,0.05802368
"Age[20,60)",0.129272936,0.126810458
"Age[20,60)",0.093427766,0.055922597
"Age[20,60)",0.101529098,0.04835586
"Age[20,60)",0.089591561,0.07741709
"Age[20,60)",0.113031499,0.089451769
"Age[20,60)",0.077517506,0.049976088
"Age[20,60)",0.087773667,0.062991948
"Age[20,60)",0.119775408,0.067043572
"Age[20,60)",0.100270358,0.066960071
"Age[20,60)",0.131239785,0.07463823
"Age[20,60)",0.07045814,0.038707473
"Age[20,60)",0.121134286,0.087854702
"Age[20,60)",0.122253257,0.078946621
"Age[20,60)",0.125052396,0.08922429
"Age[20,60)",0.08870359,0.040032502
