AgeGroup,Overexpressed,Underexpressed
"Age[20,60)",0.099359805,0.040780239
"Age[20,60)",0.120688541,0.040646187
"Age[20,60)",0.068560616,-0.021395677
"Age[20,60)",0.118971291,0.03342275
"Age[20,60)",0.075706582,0.018238747
"Age[20,60)",0.125172607,0.033016267
"Age[20,60)",0.049501337,0.004861003
"Age[20,60)",0.102162232,-0.003185547
"Age[20,60)",0.06333345,-0.003322236
"Age[20,60)",0.08471816,-0.009282293
"Age[20,60)",0.05469331,0.0151316
"Age[20,60)",0.107633448,0.019489807
"Age[20,60)",0.089542245,0.006647344
"Age[20,60)",0.175237573,-0.02567644
"Age[20,60)",0.080646399,-0.012315829
"Age[20,60)",0.070136712,-0.009067438
"Age[20,60)",0.022187869,0.020839602
"Age[20,60)",0.114027541,0.042297898
"Age[20,60)",0.120910402,0.012543165
"Age[20,60)",0.062857981,0.019197401
"Age[20,60)",0.132396753,0.02745673
"Age[20,60)",0.107898037,-0.009359567
"Age[20,60)",0.092273075,0.00365322
"Age[20,60)",0.055038759,-0.001732339
"Age[60,90)",0.138933115,0.004748508
"Age[60,90)",0.138765276,0.056547865
"Age[60,90)",0.109772077,0.024701192
"Age[60,90)",0.088698781,0.037877016
"Age[60,90)",0.150238132,0.016690608
"Age[60,90)",0.062870865,0.012271354
"Age[60,90)",0.102703095,0.012084206
"Age[60,90)",0.090242042,0.019912266
"Age[60,90)",0.088502709,-0.017543753
"Age[60,90)",0.085870269,-0.0268608
"Age[60,90)",0.089608403,0.038186597
"Age[60,90)",0.100787015,-0.012797929
"Age[60,90)",0.09721448,0.036088376
"Age[60,90)",0.126517458,0.034587879
"Age[60,90)",0.087856143,-0.00853219
"Age[60,90)",0.124567956,-0.012555194
"Age[60,90)",0.070039651,0.048672799
"Age[60,90)",0.086437638,0.008788003
"Age[60,90)",0.113277961,0.020959672
"Age[60,90)",0.123612115,-0.004474075
"Age[60,90)",0.092496612,0.006882078
"Age[60,90)",0.135290965,0.017206632
"Age[60,90)",0.099430502,0.0117865
"Age[60,90)",0.066997509,0.064114478
"Age[60,90)",0.069210712,0.010697431
"Age[60,90)",0.173857567,0.016243749
"Age[60,90)",0.128275678,0.040265763
"Age[60,90)",0.121501946,0.017958236
"Age[60,90)",0.174752745,0.021839229
"Age[60,90)",0.074610943,-0.005382682
"Age[60,90)",0.122603921,-0.000854038
"Age[60,90)",0.096410657,0.019052196
"Age[60,90)",0.054895341,-0.002266258
"Age[60,90)",0.149451273,0.037483245
"Age[60,90)",0.058209838,0.011072765
"Age[60,90)",0.119960326,0.003245567
"Age[60,90)",0.141713849,-0.0104412
"Age[60,90)",0.14481712,0.008992587
"Age[20,60)",0.166054404,0.018868969
"Age[20,60)",0.156149754,0.021036515
"Age[20,60)",0.163031634,0.01177191
"Age[20,60)",0.170695252,0.023815863
"Age[20,60)",0.136844588,0.059275834
"Age[20,60)",0.111547792,0.032188864
"Age[20,60)",0.143956065,0.042652334
"Age[20,60)",0.095814283,0.024180881
"Age[20,60)",0.207092222,0.022394288
"Age[20,60)",0.147728575,0.028282417
"Age[20,60)",0.163629595,0.046048953
"Age[20,60)",0.205959225,0.010869769
"Age[20,60)",0.136660735,0.015894241
"Age[20,60)",0.160621676,0.036643124
"Age[20,60)",0.109824211,0.044517535
"Age[20,60)",0.159795181,0.044092857
"Age[20,60)",0.186017443,0.039127718
"Age[20,60)",0.139516831,0.053608147
"Age[20,60)",0.088030735,5.19E-05
"Age[20,60)",0.169044895,0.028214128
"Age[20,60)",0.093847111,0.028482951
"Age[20,60)",0.172067977,0.034508479
"Age[20,60)",0.116197961,0.033177568
"Age[20,60)",0.17816866,0.048463222
"Age[20,60)",0.138984464,0.012344348
"Age[20,60)",0.118992244,0.005054558
"Age[20,60)",0.158823011,0.04258376
"Age[20,60)",0.144174525,0.00988198
"Age[20,60)",0.163763057,0.00392257
"Age[20,60)",0.109488779,0.03956152
"Age[20,60)",0.141272575,0.024620853
"Age[20,60)",0.170889058,0.021170449
"Age[20,60)",0.173634376,0.017646158
"Age[20,60)",0.109512259,0.002145869
"Age[20,60)",0.13139639,0.019139016
"Age[20,60)",0.202928928,0.022889403
"Age[20,60)",0.099482779,0.021201003
"Age[20,60)",0.141328614,0.000135744
"Age[20,60)",0.115394075,-0.01086912
"Age[20,60)",0.144023662,0.021701789
"Age[20,60)",0.200206845,0.029227737
"Age[20,60)",0.117493413,0.033489423
"Age[20,60)",0.143324299,0.036739976
"Age[20,60)",0.159626133,0.025901539
"Age[20,60)",0.12196631,0.039333842
"Age[20,60)",0.129050318,0.01265768
"Age[20,60)",0.100904532,0.064312855
"Age[20,60)",0.12113742,0.0087173
"Age[20,60)",0.144974503,0.028284885
"Age[20,60)",0.144924805,-0.018998043
"Age[20,60)",0.100024433,0.012964936
"Age[20,60)",0.181684912,0.019933939
"Age[20,60)",0.167551493,0.031075016
"Age[20,60)",0.174035462,-0.01499856
"Age[20,60)",0.112813593,0.031486877
"Age[20,60)",0.159040972,0.015300144
"Age[20,60)",0.111872554,-0.002673981
"Age[20,60)",0.208855111,0.069372146
"Age[20,60)",0.053669595,0.030071257
"Age[20,60)",0.19077807,0.002943008
"Age[20,60)",0.160042295,0.025268408
"Age[20,60)",0.192583646,0.017543053
"Age[20,60)",0.080541259,0.033722056
"Age[20,60)",0.126946386,0.022518471
"Age[20,60)",0.184246085,0.030126324
"Age[20,60)",0.087065763,0.011390727
"Age[20,60)",0.165663908,-0.003372741
"Age[20,60)",0.180830766,0.012911272
"Age[20,60)",0.119548621,0.024412917
"Age[20,60)",0.14756859,0.004424814
"Age[20,60)",0.153446056,0.028323745
"Age[20,60)",0.14972493,0.036634088
"Age[20,60)",0.070040969,0.002473718
"Age[20,60)",0.160430177,0.015683352
"Age[20,60)",0.194989949,0.011801467
"Age[20,60)",0.085884148,-0.020866927
"Age[20,60)",0.122052326,-0.024070653
"Age[20,60)",0.188493448,-0.025502844
"Age[20,60)",0.148717409,-0.010703685
"Age[20,60)",0.105283234,-0.018615309
"Age[20,60)",0.120336697,-0.00948364
"Age[20,60)",0.139082289,0.014005968
"Age[20,60)",0.093766041,0.045263996
"Age[20,60)",0.116650063,0.010142897
"Age[20,60)",0.07874346,-0.016941879
"Age[20,60)",0.148504552,-0.012490386
"Age[20,60)",0.085398665,-0.020908471
"Age[20,60)",0.142852015,0.051820202
"Age[20,60)",0.095716063,-0.022592745
"Age[20,60)",0.20779603,-0.013428991
"Age[20,60)",0.162814922,-0.02443634
"Age[20,60)",0.19315952,-0.01057563
"Age[20,60)",0.118198487,-0.005220051
"Age[20,60)",0.129663727,-0.003306394
"Age[20,60)",0.148387075,-0.000807003
"Age[20,60)",0.116645597,-0.017808651
"Age[20,60)",0.169299529,-0.000945053
"Age[20,60)",0.105868557,0.028295652
"Age[20,60)",0.075913882,0.003184856
"Age[20,60)",0.168933332,-0.018022683
"Age[20,60)",0.125774643,0.042212305
"Age[20,60)",0.110084114,-0.014947256
"Age[20,60)",0.106896813,-0.025346567
"Age[20,60)",0.156127707,0.050054936
"Age[20,60)",0.180455237,-0.005727228
"Age[20,60)",0.171248698,-0.00575876
"Age[20,60)",0.134706447,-0.005065763
"Age[20,60)",0.119015045,-0.005068081
"Age[20,60)",0.156961087,0.002529978
"Age[20,60)",0.113394661,-0.012257521
"Age[20,60)",0.106995818,0.025846791
"Age[20,60)",0.136622232,0.026144306
"Age[20,60)",0.155919773,-0.02134885
"Age[20,60)",0.16367608,0.056834222
"Age[20,60)",0.065641286,-0.006263681
"Age[20,60)",0.16497588,-0.008362256
"Age[20,60)",0.167519274,0.041274701
"Age[20,60)",0.181626544,0.014142649
"Age[20,60)",0.105935059,-0.007540439
"Age[20,60)",0.174063659,0.003057962
"Age[20,60)",0.137473548,-0.02443021
"Age[20,60)",0.091734639,-0.011054216
"Age[20,60)",0.159153406,-0.018407431
"Age[20,60)",0.084511857,-0.01223989
"Age[20,60)",0.212964736,0.042286903
"Age[20,60)",0.101406486,0.010617081
"Age[20,60)",0.085286117,0.006085521
"Age[20,60)",0.149970315,0.010477181
"Age[20,60)",0.057770287,-0.017807131
"Age[20,60)",0.116460042,-0.006569201
"Age[20,60)",0.140767224,0.020226619
"Age[20,60)",0.109351998,0.003929699
"Age[20,60)",0.126929626,-0.023382744
"Age[20,60)",0.198785506,-0.004792058
"Age[20,60)",0.133254321,-0.006118545
"Age[20,60)",0.149885463,-0.018984795
"Age[20,60)",0.117118091,0.015546478
"Age[20,60)",0.105703653,-0.017501203
"Age[20,60)",0.12825109,0.009562604
"Age[20,60)",0.140150879,-0.025173761
"Age[20,60)",0.111712231,-0.006799444
"Age[20,60)",0.10971303,-0.015907729
"Age[20,60)",0.12176997,-0.01981766
"Age[20,60)",0.170057196,0.017721131
"Age[20,60)",0.146584943,-0.009350351
"Age[20,60)",0.109497051,-0.013398481
"Age[20,60)",0.11358346,0.048739161
"Age[20,60)",0.11809326,-0.010367508
"Age[20,60)",0.156682569,-0.011746958
"Age[20,60)",0.155117148,0.025904361
"Age[20,60)",0.139001253,0.026663843
"Age[20,60)",0.148748743,0.006293138
"Age[20,60)",0.144067828,-0.010631531
"Age[20,60)",0.128012546,0.042431355
"Age[20,60)",0.136719797,0.000644785
"Age[20,60)",0.150938509,-0.006995354
"Age[20,60)",0.12539923,0.02101954
"Age[20,60)",0.165175069,0.028640124
"Age[20,60)",0.163584892,0.002032062
"Age[20,60)",0.120315548,-0.017470422
"Age[20,60)",0.10937819,-0.012502865
"Age[20,60)",0.164567864,-0.04771331
"Age[20,60)",0.092893019,0.020696368
"Age[20,60)",0.181096,-0.009305732
"Age[20,60)",0.147756268,0.015492146
"Age[20,60)",0.176001452,0.005550818
"Age[20,60)",0.105592863,0.009309643
"Age[20,60)",0.167266675,0.003587934
"Age[20,60)",0.155354645,-0.038118674
"Age[20,60)",0.122904276,0.022538689
"Age[20,60)",0.212629044,0.024173906
"Age[20,60)",0.060612163,0.042262325
"Age[20,60)",0.155861984,0.000687174
"Age[20,60)",0.146617264,0.003015696
"Age[20,60)",0.066490732,-0.001072326
"Age[20,60)",0.151316925,0.018296463
"Age[20,60)",0.138553161,0.022878486
"Age[20,60)",0.123545197,0.006158898
"Age[20,60)",0.204557262,-0.009579251
"Age[20,60)",0.118068064,-0.006094035
"Age[20,60)",0.19524697,0.001044753
"Age[20,60)",0.078217853,0.00684659
"Age[20,60)",0.150600538,-0.020598244
"Age[20,60)",0.10864195,0.00807098
"Age[20,60)",0.07389943,-0.012944746
"Age[20,60)",0.080729453,0.02317303
"Age[20,60)",0.106131382,-0.00241887
"Age[20,60)",0.164140376,0.013915056
"Age[20,60)",0.125982171,0.007272812
"Age[20,60)",0.13842591,-0.031776296
"Age[20,60)",0.070818834,-0.002414351
"Age[20,60)",0.115864343,0.013499169
"Age[20,60)",0.062953287,0.01846682
"Age[20,60)",0.108477812,-0.018374815
"Age[20,60)",0.139707415,0.03018081
"Age[20,60)",0.129875074,0.010814837
"Age[20,60)",0.166151664,-1.15E-05
"Age[20,60)",0.186168249,0.008900577
"Age[20,60)",0.15319101,0.015237952
"Age[20,60)",0.135475023,0.004675975
"Age[20,60)",0.145059277,0.011331186
"Age[20,60)",0.097220325,-0.032066199
"Age[20,60)",0.212692995,-0.014557774
"Age[20,60)",0.167695976,0.033521908
"Age[20,60)",0.144985275,-0.010573173
"Age[20,60)",0.137340975,-0.044235115
"Age[20,60)",0.112930235,-0.036613405
"Age[20,60)",0.128573408,-0.001511937
"Age[20,60)",0.131457313,-0.018629251
"Age[20,60)",0.14247479,-0.007951788
"Age[20,60)",0.164066066,-0.014899864
"Age[20,60)",0.12751815,-0.004362916
"Age[20,60)",0.098000203,0.007419084
"Age[20,60)",0.151404213,-0.016036807
"Age[20,60)",0.108160806,0.010280434
"Age[20,60)",0.205729597,-0.011446377
"Age[20,60)",0.178432663,-0.015914313
"Age[20,60)",0.165227997,-0.004043594
"Age[20,60)",0.138549833,0.029724708
"Age[20,60)",0.18802039,0.005190978
"Age[20,60)",0.110818423,-0.000306528
"Age[20,60)",0.15725835,0.040474458
"Age[20,60)",0.155005826,0.016046955
"Age[20,60)",0.111695901,-0.000283135
"Age[20,60)",0.130049336,0.001947773
