CellType,Organ,CellNum
EpiFB,FetalMuscle,0
FCC,FetalMuscle,0
FCPC,FetalMuscle,5
iCAF,FetalMuscle,2
LipFB,FetalMuscle,0
MetFB,FetalMuscle,0
myoCAF,FetalMuscle,2
PapFB,FetalMuscle,0
ProFB,FetalMuscle,327
UniFB,FetalMuscle,20
ActFB,FetalPancreas,190
apCAF,FetalPancreas,9
CycFB,FetalPancreas,973
CytFB,FetalPancreas,0
DerFB,FetalPancreas,21
DevFB,FetalPancreas,18
EpiFB,FetalPancreas,0
FCC,FetalPancreas,0
FCPC,FetalPancreas,3
iCAF,FetalPancreas,14
LipFB,FetalPancreas,0
MetFB,FetalPancreas,0
myoCAF,FetalPancreas,2
PapFB,FetalPancreas,0
ProFB,FetalPancreas,23
UniFB,FetalPancreas,46
ActFB,FetalRib,15
apCAF,FetalRib,1
CycFB,FetalRib,94
CytFB,FetalRib,0
DerFB,FetalRib,0
DevFB,FetalRib,0
EpiFB,FetalRib,1
FCC,FetalRib,0
FCPC,FetalRib,2
iCAF,FetalRib,2
LipFB,FetalRib,0
MetFB,FetalRib,0
myoCAF,FetalRib,0
PapFB,FetalRib,0
ProFB,FetalRib,0
UniFB,FetalRib,2
ActFB,FetalSkin,143
apCAF,FetalSkin,9
CycFB,FetalSkin,871
CytFB,FetalSkin,0
DerFB,FetalSkin,513
DevFB,FetalSkin,20
EpiFB,FetalSkin,0
FCC,FetalSkin,0
FCPC,FetalSkin,1
iCAF,FetalSkin,17
LipFB,FetalSkin,0
MetFB,FetalSkin,0
myoCAF,FetalSkin,0
PapFB,FetalSkin,0
ProFB,FetalSkin,1
UniFB,FetalSkin,219
ActFB,FetalSpinalCord,10
apCAF,FetalSpinalCord,9
CycFB,FetalSpinalCord,34
CytFB,FetalSpinalCord,0
DerFB,FetalSpinalCord,0
DevFB,FetalSpinalCord,0
EpiFB,FetalSpinalCord,0
FCC,FetalSpinalCord,0
FCPC,FetalSpinalCord,0
iCAF,FetalSpinalCord,0
LipFB,FetalSpinalCord,0
MetFB,FetalSpinalCord,0
myoCAF,FetalSpinalCord,0
PapFB,FetalSpinalCord,0
ProFB,FetalSpinalCord,3
UniFB,FetalSpinalCord,5
ActFB,FetalStomach,60
apCAF,FetalStomach,17
CycFB,FetalStomach,788
CytFB,FetalStomach,0
DerFB,FetalStomach,54
DevFB,FetalStomach,10
EpiFB,FetalStomach,0
FCC,FetalStomach,0
FCPC,FetalStomach,4
