Trait	CellType	mcz	mcp
BreastCancer	PapFB	2.307672	0.007992008
BreastCancer	ProFB	2.2796574	0.01998002
BreastCancer	UniFB	1.3646936	0.08991009
CAD	ActFB	1.0866925	0.14285715
CAD	apCAF	0.38922963	0.25674325
CAD	CycFB	0.1416706	0.3936064
CAD	CytFB	0.96062756	0.14385614
CAD	DerFB	-0.51448846	0.7032967
CAD	DevFB	-1.4859791	0.94305694
CAD	EpiFB	0.8825532	0.18281718
CAD	FCC	1.3348354	0.09490509
CAD	FCPC	2.4623098	0.012987013
CAD	iCAF	1.0726045	0.14085914
CAD	LipFB	1.5830777	0.060939062
CAD	MetFB	2.1572921	0.026973028
CAD	myoCAF	2.5001764	0.023976024
CAD	PapFB	1.0759447	0.14785215
CAD	ProFB	1.33615	0.0939061
CAD	UniFB	0.11231377	0.38261738
CD	ActFB	6.2204375	0.000999001
CD	apCAF	2.049011	0.04795205
CD	CycFB	5.714015	0.000999001
CD	CytFB	3.8508432	0.006993007
CD	DerFB	-0.078254	0.5224775
CD	DevFB	1.418415	0.08091908
CD	EpiFB	3.7997537	0.002997003
CD	FCC	3.9935071	0.003996004
CD	FCPC	6.1627502	0.000999001
CD	iCAF	4.2065716	0.002997003
CD	LipFB	8.80053	0.000999001
CD	MetFB	8.684575	0.000999001
CD	myoCAF	7.833858	0.000999001
CD	PapFB	-0.4054258	0.6683317
CD	ProFB	6.3320823	0.000999001
CD	UniFB	4.9541545	0.001998002
Celiac	ActFB	1.3107622	0.1028971
Celiac	apCAF	0.6627991	0.1978022
Celiac	CycFB	3.5169299	0.008991009
Celiac	CytFB	1.9092605	0.04695305
Celiac	DerFB	-1.0802554	0.8611389
Celiac	DevFB	1.6550364	0.045954045
Celiac	EpiFB	0.587555	0.23776224
Celiac	FCC	2.635192	0.015984016
Celiac	FCPC	1.6027887	0.06593407
Celiac	iCAF	-0.107204735	0.5104895
Celiac	LipFB	1.4175701	0.075924076
Celiac	MetFB	4.141961	0.001998002
Celiac	myoCAF	4.917716	0.000999001
Celiac	PapFB	-0.62901706	0.7512488
Celiac	ProFB	-0.063809514	0.47852147
Celiac	UniFB	-0.09914321	0.46553448
CVD	ActFB	0.97934544	0.15384616
CVD	apCAF	4.533924	0.003996004
CVD	CycFB	2.7860513	0.015984016
CVD	CytFB	6.061083	0.001998002
CVD	DerFB	1.3342453	0.0939061
CVD	DevFB	2.4415574	0.00999001
