CellType	Trait	Intersection_count	p_value	Label	Log10_Pvalue
ProFB	HAIR	54	0.341100682894458		0.467117411120313
LipFB	HAIR	69	0.0220837153031743	69	1.65592786029378
FCPC	MNR	41	0.799835039084386		0.0969995742614163
myoCAF	MNR	42	0.861467906054524		0.0647608975346449
ActFB	MNR	45	0.935410380668284		0.0289978148402377
FCC	MNR	39	0.799835039084386		0.0969995742614163
iCAF	MNR	43	0.861467906054524		0.0647608975346449
UniFB	MNR	41	0.799835039084386		0.0969995742614163
CycFB	MNR	40	0.799835039084386		0.0969995742614163
DerFB	MNR	46	0.939024503263455		0.0273230749402123
DevFB	MNR	46	0.939024503263455		0.0273230749402123
apCAF	MNR	74	0.00198064378945457	74	2.70319362349454
MetFB	MNR	41	0.799835039084386		0.0969995742614163
EpiFB	MNR	50	0.862540822794056		0.0642203412464087
CytFB	MNR	51	0.861467906054524		0.0647608975346449
PapFB	MNR	54	0.799835039084386		0.0969995742614163
ProFB	MNR	44	0.864097897775862		0.0634370514385719
LipFB	MNR	53	0.799835039084386		0.0969995742614163
FCPC	MNP	49	1		0
myoCAF	MNP	40	1		0
ActFB	MNP	50	1		0
FCC	MNP	46	1		0
iCAF	MNP	44	1		0
UniFB	MNP	42	1		0
CycFB	MNP	52	1		0
DerFB	MNP	49	1		0
DevFB	MNP	42	1		0
apCAF	MNP	45	1		0
MetFB	MNP	46	1		0
EpiFB	MNP	42	1		0
CytFB	MNP	48	1		0
PapFB	MNP	47	1		0
ProFB	MNP	52	1		0
LipFB	MNP	46	1		0
FCPC	NCH	45	0.935410380668284		0.0289978148402377
myoCAF	NCH	51	0.935410380668284		0.0289978148402377
ActFB	NCH	50	0.935410380668284		0.0289978148402377
FCC	NCH	47	1		0
iCAF	NCH	40	0.760105214671141		0.119126287997595
UniFB	NCH	43	0.935410380668284		0.0289978148402377
CycFB	NCH	44	0.935410380668284		0.0289978148402377
DerFB	NCH	47	1		0
DevFB	NCH	59	0.313995613357471		0.503076419149562
apCAF	NCH	72	0.00651358756557293	72	2.18617974403128
MetFB	NCH	50	0.935410380668284		0.0289978148402377
EpiFB	NCH	49	0.935410380668284		0.0289978148402377
CytFB	NCH	61	0.298272586025542		0.525386660432575
PapFB	NCH	52	0.935410380668284		0.0289978148402377
ProFB	NCH	56	0.618288570227972		0.20880878185759
LipFB	NCH	60	0.298272586025542		0.525386660432575
