CellType	Trait	Intersection_count	p_value	Label	Log10_Pvalue
FCPC	DBP	45	1		0
myoCAF	DBP	65	0.0368066919470715	65	1.43407321362348
ActFB	DBP	48	1		0
FCC	DBP	44	1		0
iCAF	DBP	49	1		0
UniFB	DBP	46	1		0
CycFB	DBP	47	1		0
DerFB	DBP	46	1		0
DevFB	DBP	47	1		0
apCAF	DBP	87	6.19754524646585e-07	87	5
MetFB	DBP	55	0.573605985063667		0.241386325843457
EpiFB	DBP	49	1		0
CytFB	DBP	70	0.00781037689159593	70	2.10732800863345
PapFB	DBP	64	0.0454299815387983	64	1.34265743966787
ProFB	DBP	58	0.288189260197713		0.540322207851588
LipFB	DBP	67	0.0241153905877287	67	1.61770569958404
FCPC	SBP	51	0.666377265675746		0.176279827867765
myoCAF	SBP	56	0.343493650126651		0.464081286960896
ActFB	SBP	62	0.102045569240089		0.991205847355108
FCC	SBP	42	0.666377265675746		0.176279827867765
iCAF	SBP	51	0.666377265675746		0.176279827867765
UniFB	SBP	50	0.739320705252048		0.131167130877022
CycFB	SBP	59	0.20933040890498		0.679167678205243
DerFB	SBP	53	0.639868031267509		0.193909587269473
DevFB	SBP	48	0.878622323180772		0.0561977667990524
apCAF	SBP	93	5.31510431868532e-09	93	5
MetFB	SBP	58	0.247019365883754		0.607268997482201
EpiFB	SBP	49	0.810722777015285		0.0911276254370276
CytFB	SBP	63	0.102045569240089		0.991205847355108
PapFB	SBP	62	0.102045569240089		0.991205847355108
ProFB	SBP	57	0.291829729275761		0.534870467745022
LipFB	SBP	66	0.046851860307063	66	1.32927316027135
FCPC	BreastCancer	49	0.935449358094559		0.0289797186881831
myoCAF	BreastCancer	53	0.710964479186121		0.148152096708798
ActFB	BreastCancer	48	0.937197144726156		0.0281690431988089
FCC	BreastCancer	51	0.861467906054524		0.0647608975346449
iCAF	BreastCancer	49	0.935449358094559		0.0289797186881831
UniFB	BreastCancer	48	0.937197144726156		0.0281690431988089
CycFB	BreastCancer	43	0.861467906054524		0.0647608975346449
DerFB	BreastCancer	55	0.501905236930709		0.299378272821144
DevFB	BreastCancer	39	0.501905236930709		0.299378272821144
apCAF	BreastCancer	82	1.85177804809266e-05	82	4.73241106855318
MetFB	BreastCancer	59	0.313995613357471		0.503076419149562
EpiFB	BreastCancer	47	1		0
CytFB	BreastCancer	63	0.171912904060554		0.76469152324338
PapFB	BreastCancer	58	0.345827112237255		0.461140961803963
ProFB	BreastCancer	57	0.389106305701015		0.409931731136722
LipFB	BreastCancer	59	0.313995613357471		0.503076419149562
FCPC	ECOL	36	0.368740599873128		0.433279042133142
myoCAF	ECOL	51	0.721908704482058		0.141517721608554
ActFB	ECOL	47	1		0
FCC	ECOL	42	0.714244618669438		0.146153023036185
iCAF	ECOL	42	0.714244618669438		0.146153023036185
UniFB	ECOL	46	1		0
CycFB	ECOL	41	0.714244618669438		0.146153023036185
DerFB	ECOL	45	0.935410380668284		0.0289978148402377
DevFB	ECOL	57	0.389106305701015		0.409931731136722
apCAF	ECOL	90	6.11468764984326e-08	90	5
MetFB	ECOL	49	0.935410380668284		0.0289978148402377
EpiFB	ECOL	52	0.714244618669438		0.146153023036185
CytFB	ECOL	65	0.0736133838941431		1.1330432179595
PapFB	ECOL	57	0.389106305701015		0.409931731136722
ProFB	ECOL	53	0.714244618669438		0.146153023036185
LipFB	ECOL	59	0.368740599873128		0.433279042133142
FCPC	EY	44	1		0
myoCAF	EY	61	0.125091368542962		0.902772656121834
ActFB	EY	47	1		0
FCC	EY	43	0.947614696659977		0.0233682123764199
iCAF	EY	47	1		0
UniFB	EY	51	0.947614696659977		0.0233682123764199
CycFB	EY	41	0.71950966273721		0.142963369280855
DerFB	EY	47	1		0
DevFB	EY	55	0.573605985063667		0.241386325843457
apCAF	EY	92	1.36724561093467e-08	92	5
MetFB	EY	47	1		0
EpiFB	EY	47	1		0
CytFB	EY	68	0.0220837153031743	68	1.65592786029378
PapFB	EY	63	0.114608602707036		0.940782782299061
ProFB	EY	59	0.20933040890498		0.679167678205243
LipFB	EY	61	0.125091368542962		0.902772656121834
FCPC	Smoking	40	0.647832177734628		0.188537484443278
myoCAF	Smoking	53	0.647832177734628		0.188537484443278
ActFB	Smoking	46	0.939024503263455		0.0273230749402123
FCC	Smoking	37	0.40324108121299		0.394435229451261
iCAF	Smoking	46	0.939024503263455		0.0273230749402123
UniFB	Smoking	44	0.864097897775862		0.0634370514385719
CycFB	Smoking	45	0.935410380668284		0.0289978148402377
DerFB	Smoking	41	0.647832177734628		0.188537484443278
DevFB	Smoking	52	0.647832177734628		0.188537484443278
apCAF	Smoking	88	2.59205022467848e-07	88	5
MetFB	Smoking	54	0.647832177734628		0.188537484443278
EpiFB	Smoking	52	0.647832177734628		0.188537484443278
CytFB	Smoking	73	0.00180698080141205	73	2.74304646165329
PapFB	Smoking	66	0.031234573538042	66	1.50536441932704
ProFB	Smoking	51	0.721908704482058		0.141517721608554
LipFB	Smoking	62	0.127556961550111		0.894295834347051
FCPC	AIT	49	0.868631546802091		0.0611644020595844
myoCAF	AIT	51	0.721908704482058		0.141517721608554
ActFB	AIT	55	0.669206982574279		0.174439536212844
FCC	AIT	56	0.618288570227972		0.20880878185759
iCAF	AIT	49	0.868631546802091		0.0611644020595844
UniFB	AIT	46	0.939024503263455		0.0273230749402123
CycFB	AIT	48	0.937197144726156		0.0281690431988089
DerFB	AIT	52	0.712615395508091		0.147144799285053
DevFB	AIT	51	0.721908704482058		0.141517721608554
apCAF	AIT	56	0.618288570227972		0.20880878185759
MetFB	AIT	54	0.712615395508091		0.147144799285053
EpiFB	AIT	52	0.712615395508091		0.147144799285053
CytFB	AIT	56	0.618288570227972		0.20880878185759
PapFB	AIT	52	0.712615395508091		0.147144799285053
ProFB	AIT	60	0.618288570227972		0.20880878185759
LipFB	AIT	57	0.618288570227972		0.20880878185759
FCPC	Eczema	53	0.58169821024319		0.235302272427698
myoCAF	Eczema	59	0.288189260197713		0.540322207851588
ActFB	Eczema	58	0.288189260197713		0.540322207851588
FCC	Eczema	58	0.288189260197713		0.540322207851588
iCAF	Eczema	50	0.690032658235245		0.161130354254465
UniFB	Eczema	50	0.690032658235245		0.161130354254465
CycFB	Eczema	51	0.666377265675746		0.176279827867765
DerFB	Eczema	63	0.288189260197713		0.540322207851588
DevFB	Eczema	48	0.878622323180772		0.0561977667990524
apCAF	Eczema	57	0.291829729275761		0.534870467745022
MetFB	Eczema	59	0.288189260197713		0.540322207851588
EpiFB	Eczema	60	0.288189260197713		0.540322207851588
CytFB	Eczema	57	0.291829729275761		0.534870467745022
PapFB	Eczema	51	0.666377265675746		0.176279827867765
ProFB	Eczema	54	0.511651024341687		0.291026152064632
LipFB	Eczema	54	0.511651024341687		0.291026152064632
FCPC	ASM	48	0.937197144726156		0.0281690431988089
myoCAF	ASM	58	0.432283890296569		0.364230948795907
ActFB	ASM	53	0.787536768525881		0.103729160719154
FCC	ASM	52	0.787536768525881		0.103729160719154
iCAF	ASM	44	0.935410380668284		0.0289978148402377
UniFB	ASM	45	0.935410380668284		0.0289978148402377
CycFB	ASM	45	0.935410380668284		0.0289978148402377
DerFB	ASM	52	0.787536768525881		0.103729160719154
DevFB	ASM	46	0.939024503263455		0.0273230749402123
apCAF	ASM	56	0.618288570227972		0.20880878185759
MetFB	ASM	60	0.432283890296569		0.364230948795907
EpiFB	ASM	55	0.669206982574279		0.174439536212844
CytFB	ASM	60	0.432283890296569		0.364230948795907
PapFB	ASM	58	0.432283890296569		0.364230948795907
ProFB	ASM	51	0.787536768525881		0.103729160719154
LipFB	ASM	51	0.787536768525881		0.103729160719154
FCPC	CVD	37	0.336034234344158		0.473616475498885
myoCAF	CVD	53	0.58169821024319		0.235302272427698
ActFB	CVD	43	0.728934382046136		0.137311564683257
FCC	CVD	34	0.298272586025542		0.525386660432575
iCAF	CVD	37	0.336034234344158		0.473616475498885
UniFB	CVD	39	0.44302254787148		0.353574169562567
CycFB	CVD	36	0.336034234344158		0.473616475498885
DerFB	CVD	40	0.506736809780761		0.295217547053276
DevFB	CVD	42	0.654724233780319		0.183941583925585
apCAF	CVD	66	0.0937037206141259		1.02824316460737
MetFB	CVD	46	0.939024503263455		0.0273230749402123
